repo,number,is_merged,ast_function_definition,ast_class_definition,ast_if_statement,ast_for_statement,ast_while_statement,ast_try_statement,ast_import_statement,ast_import_from_statement,ast_call,ast_assignment,ast_augmented_assignment,ast_binary_operator,ast_comparison_operator,ast_boolean_operator,ast_return_statement,ast_expression_statement,ast_decorated_definition,ast_with_statement,ast_raise_statement,ast_assert_statement,ast_total_nodes,ast_max_depth,ast_avg_branching,ast_error_nodes,cfg_nodes,cfg_edges,cfg_complexity,cfg_max_nesting,additions,deletions,changed_files,num_commits,files_per_commit,churn_ratio,num_reviews,num_reviewers,num_review_comments,num_issue_comments,review_density,title_len,body_len,avg_commit_msg_len,has_keyword_fix,has_keyword_bug,has_keyword_test,has_keyword_refactor,has_keyword_add,has_keyword_remove,tfidf_added,tfidf_ai,tfidf_airflow,tfidf_assistant,tfidf_breaking,tfidf_change,tfidf_changes,tfidf_checklist,tfidf_code,tfidf_com,tfidf_commit,tfidf_contributing,tfidf_dev,tfidf_developers,tfidf_django,tfidf_docs,tfidf_documentation,tfidf_existing,tfidf_feature,tfidf_file,tfidf_fix,tfidf_fixes,tfidf_github,tfidf_guidelines,tfidf_help,tfidf_home,tfidf_href,tfidf_https,tfidf_io,tfidf_issue,tfidf_link,tfidf_main,tfidf_new,tfidf_number,tfidf_perfect,tfidf_pr,tfidf_prs,tfidf_pull,tfidf_py,tfidf_python3,tfidf_request,tfidf_requests,tfidf_review,tfidf_reviewed,tfidf_tests,tfidf_ticket,tfidf_tools,tfidf_updated,tfidf_used,tfidf_works
django/django,20670,True,2,1,2,2,0,1,0,1,17,7,0,0,0,0,0,11,0,4,1,0,428,20,2.986111111111111,2,32,39,11,4,21.0,11.0,2.0,2.0,0.6666666666666666,0.6363636363636364,6.0,4.0,4.0,1.0,0.12121212121212122,65.0,2763.0,122.0,0.0,0.0,1.0,0.0,1.0,0.0,0.16753866891600652,0.2518727081541403,0.0,0.0,0.0,0.0,0.08183399811162384,0.09799286522180281,0.07635458843115506,0.21401132100931228,0.10520053030114108,0.08192449882735434,0.0,0.0,0.49134671126514334,0.23004065233163998,0.0,0.0,0.0,0.0,0.0,0.0,0.08443124109867285,0.10173576339630865,0.0,0.0,0.0,0.21030878361559216,0.0,0.0,0.0,0.09824229989848836,0.0,0.1780208457946255,0.0,0.2689783081643306,0.0,0.0,0.23278393395092312,0.0,0.0,0.0,0.0,0.0924592542750359,0.1397764405111601,0.39668099212670865,0.19927319404160895,0.1849185085500718,0.19876043206541016,0.0
django/django,20699,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,4.25,3,2,1,1,0,64.0,59.0,1.0,1.0,0.5,0.5161290322580645,3.0,3.0,3.0,0.0,0.024193548387096774,46.0,2705.0,46.0,1.0,0.0,1.0,0.0,1.0,0.0,0.13833814094486951,0.20797349308213653,0.0,0.0,0.0,0.0,0.13514209272515507,0.08091356394529774,0.12609329994703655,0.17671101532044836,0.08686499589876988,0.06764577359330785,0.0,0.0,0.5409456896176602,0.18994657407274979,0.0,0.0,0.0,0.0,0.0,0.0,0.1394312251234862,0.08400410763027034,0.0,0.0,0.0,0.1736537978843776,0.0,0.0,0.0,0.08111952433452084,0.0,0.14699336586593192,0.0,0.27762217035253867,0.0,0.0,0.19221172564495262,0.0,0.0,0.0,0.0715634197309973,0.07634441309767047,0.11541462668477512,0.43672394243096013,0.16454161527141445,0.15268882619534094,0.2461773348495988,0.0
django/django,20722,True,3,0,0,1,0,0,0,0,9,3,0,0,0,0,0,7,1,1,0,0,250,11,3.1923076923076925,3,14,14,4,1,15.0,2.0,3.0,1.0,1.5,0.8333333333333334,5.0,3.0,2.0,2.0,0.1111111111111111,77.0,2170.0,142.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1543084971143191,0.3093104758907047,0.0,0.0,0.0,0.0,0.07537174159949567,0.09025457739480558,0.07032502922952524,0.131407535243712,0.09689306851624119,0.07545509566648509,0.17959694041712246,0.0,0.15084870270635545,0.2118748320382625,0.0,0.0,0.0,0.19405074196492383,0.0,0.0,0.0,0.09370190687340778,0.0,0.0,0.0,0.12913409797524494,0.0,0.0,0.0,0.09048431474640672,0.0,0.16396291881344974,0.0,0.2477376641329196,0.0,0.0,0.21440148255167404,0.0,0.0,0.0,0.0,0.08515794391707973,0.4505850746210578,0.3653559391687478,0.27530552158510946,0.17031588783415946,0.27459711620231153,0.0
django/django,20730,True,9,0,0,0,0,1,2,7,20,15,0,0,0,0,3,20,3,3,1,0,583,11,2.826530612244898,0,46,49,7,1,47.0,1.0,3.0,1.0,1.5,0.9591836734693877,9.0,5.0,17.0,4.0,0.3469387755102041,58.0,1519.0,58.0,1.0,0.0,1.0,0.0,1.0,0.0,0.16169508323962278,0.24308763328656208,0.0,0.0,0.0,0.09542278065072093,0.07897970792118403,0.09457496947688072,0.07369141471627874,0.13769787631204894,0.10153123821476358,0.07906705206005041,0.0,0.0,0.0,0.22201705831809868,0.0,0.0,0.0,0.0,0.0,0.0,0.08148636160120676,0.09818731900669324,0.0,0.0,0.0,0.1353156119828688,0.0,0.0,0.0,0.09481570411486294,0.0,0.25771747798934475,0.0,0.32449575827542804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08923436549308197,0.13490117433558593,0.6380752421366953,0.19232273902174377,0.17846873098616395,0.28774179252616755,0.0
django/django,20763,False,22,14,3,0,0,1,0,7,92,28,0,1,0,0,11,47,5,0,3,0,1954,20,2.94,3,86,87,9,3,279.0,40.0,7.0,1.0,3.5,0.871875,29.0,5.0,58.0,10.0,0.18125,48.0,1989.0,443.0,1.0,0.0,1.0,0.0,1.0,0.0,0.22869895842692864,0.305617145694554,0.0,0.0,0.0,0.0,0.07447176325772023,0.08917689014521225,0.06948531129481693,0.1298384599755053,0.09573611418186816,0.07455412203319327,0.0,0.0,0.2980949792927989,0.2093449348121246,0.0,0.0,0.0,0.0,0.0,0.0,0.0768353440348742,0.09258305669190037,0.0,0.0,0.0,0.12759216874691456,0.0,0.0,0.0,0.08940388431168392,0.0,0.24300767264614467,0.0,0.3059744322242589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08414111315890588,0.06360069303075735,0.6016556609760644,0.1813454856505235,0.16828222631781176,0.18087885455122235,0.11507718773006083
django/django,20768,True,1,0,0,1,0,0,4,1,21,13,0,0,0,0,0,21,1,3,0,0,538,15,3.0,0,37,39,6,3,52.0,1.0,2.0,1.0,1.0,0.9629629629629629,2.0,2.0,9.0,0.0,0.16666666666666666,86.0,3081.0,86.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10443519977754138,0.31400961658320686,0.0,0.0,0.0,0.0,0.2040448332717025,0.06108383528666631,0.09519123851625381,0.08893594618632242,0.06557673204513152,0.051067621923145706,0.0,0.0,0.20418725731804552,0.14339580013766895,0.0,0.0,0.0,0.06566627367601519,0.0,0.0,0.05263019927671895,0.06341697020489513,0.0,0.0,0.0,0.08739729549790203,0.0,0.0,0.0,0.06123932034847113,0.0,0.1664538943345309,0.0,0.251501371570374,0.0,0.0,0.36276456063039686,0.0,0.0,0.0,0.0,0.05763445987706151,0.2613888587648076,0.5769657287702081,0.18632536564270075,0.11526891975412303,0.24779456068172676,0.0
django/django,20848,True,7,5,5,2,0,0,9,78,137,98,0,20,61,1,3,177,1,2,0,0,6234,15,3.8507462686567164,261,325,313,32,2,276.0,79.0,31.0,1.0,15.5,0.7752808988764045,35.0,2.0,51.0,24.0,0.14325842696629212,65.0,2231.0,393.0,1.0,0.0,1.0,0.0,1.0,0.0,0.330460878183683,0.19872206665041153,0.0,0.0,0.0,0.0,0.06456523752091337,0.07731423081358482,0.12048420587112597,0.16885025896306535,0.08300092116914949,0.06463664060938257,0.07692351848307581,0.0,0.25844121717953394,0.1814970513477637,0.08334189067021679,0.0,0.0,0.0,0.0,0.0,0.13322881104466044,0.0802672957405108,0.0,0.0,0.0,0.16592903781083074,0.0,0.0,0.0,0.07751102932664522,0.1500505967550565,0.21068183990092623,0.0,0.3713815201733268,0.0,0.07615337381658137,0.0,0.0,0.0,0.0,0.0,0.07294833261270511,0.1654208389486408,0.5216210676023532,0.15722219861844947,0.14589666522541023,0.2352264609244312,0.0
django/django,20876,False,5,2,5,0,1,0,4,16,27,8,0,0,3,1,3,21,4,0,1,0,915,13,3.0260416666666665,5,59,63,10,2,42.0,4.0,4.0,1.0,2.0,0.8936170212765957,4.0,2.0,2.0,4.0,0.0425531914893617,87.0,2009.0,87.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2546570831481406,0.2552293135197051,0.0,0.0,0.0,0.0,0.12438684989137794,0.07447408227656341,0.17408730385045768,0.1626475222750949,0.07995187130666843,0.12452441006444046,0.07409772281540605,0.0,0.12447367237146398,0.2331063107492319,0.0,0.0,0.0,0.0,0.0,0.0,0.06416731648842426,0.23195599791360874,0.0,0.0,0.0,0.15983361256985432,0.0,0.0,0.0,0.07466365137010976,0.07226923407753795,0.20294241453156128,0.0,0.25552769336190667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14053713185185382,0.053114694153453566,0.5024592484076124,0.1514466202715584,0.21080569777778072,0.37764230940333765,0.09610413564779603
django/django,20903,True,34,14,9,1,1,3,2,21,113,47,1,8,7,3,12,121,3,0,1,0,3537,17,3.2035175879396984,32,208,215,33,4,374.0,36.0,18.0,2.0,6.0,0.9099756690997567,36.0,3.0,47.0,7.0,0.11435523114355231,84.0,3129.0,325.5,1.0,0.0,1.0,0.0,1.0,0.0,0.164571026141063,0.21992110335441448,0.0,0.0,0.0,0.0,0.053589638458162024,0.06417139990585276,0.15000421156495414,0.3270096662530272,0.06889139617442555,0.10729780712988118,0.06384710569836467,0.0,0.0,0.2008585783187876,0.0,0.0,0.0,0.0,0.0,0.0,0.22116185397076923,0.19986739880055618,0.0,0.0,0.0,0.32135218275309085,0.0,0.0,0.0,0.06433474416925136,0.0,0.23315670709714734,0.0,0.3082494878096693,0.0,0.0,0.0,0.0,0.11145931912273709,0.0,0.11351186629952177,0.12109534235274395,0.04576685170474329,0.5195393465268273,0.1304956212517757,0.12109534235274395,0.19523975254718337,0.0
django/django,20950,False,123,10,1,9,0,1,4,24,580,182,0,1,1,0,3,445,7,34,1,0,11148,17,3.1791044776119404,27,607,628,71,3,930.0,1.0,26.0,1.0,13.0,0.9978540772532188,1.0,1.0,0.0,1.0,0.0,75.0,336.0,233.0,0.0,0.0,1.0,0.0,1.0,0.0,0.24520912554366495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2235047226003262,0.4176351582646432,0.0,0.0,0.0,0.0,0.4794224449301471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104097938160972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409152811958065,0.3870541243942065,0.0,0.0,0.0,0.0
django/django,20962,True,4,0,2,2,0,3,0,0,19,13,0,0,1,0,1,19,0,3,2,0,560,13,3.056603773584906,1,45,53,16,2,39.0,4.0,4.0,1.0,2.0,0.8863636363636364,7.0,4.0,4.0,2.0,0.09090909090909091,80.0,2715.0,80.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1905442673841202,0.25462990967228594,0.0,0.0,0.0,0.0,0.06204736422216731,0.07429918053493356,0.11578564087653011,0.16226554596806164,0.07976410502461916,0.12423196555851394,0.07392370495073344,0.0,0.248362694045146,0.23255886258352582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23141125124770257,0.0,0.0,0.0,0.15945824470555967,0.0,0.0,0.0,0.07448830442709432,0.0,0.26995440802221926,0.0,0.30591310652639353,0.0,0.0,0.0,0.0,0.12905026360576116,0.0,0.06571337589189948,0.07010354080327233,0.052989954751105815,0.60153507262162,0.15109094918653468,0.14020708160654466,0.1507021678752136,0.0
django/django,20975,False,4,0,2,1,0,3,0,6,30,19,0,1,2,1,2,36,1,4,2,0,777,13,3.0,4,73,84,17,3,88.0,2.0,4.0,1.0,2.0,0.967032967032967,0.0,0.0,0.0,1.0,0.0,73.0,2395.0,1007.0,1.0,0.0,1.0,0.0,1.0,0.0,0.13915920533624243,0.34867976190608646,0.0,0.0,0.0,0.0,0.0679720939672163,0.08139380204652417,0.2536833775415113,0.17775983035621495,0.08738055693278478,0.06804726471892934,0.0,0.0,0.27207815495821525,0.1910739447831641,0.08773951806816346,0.0,0.0,0.0,0.0,0.0,0.0,0.08450268872318645,0.0,0.0,0.0,0.1746844677263726,0.0,0.08139380204652417,0.0,0.08160098485163686,0.0,0.14786580073932426,0.0,0.22341593053721023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15359506475900275,0.1160996354579683,0.549144982404229,0.16551820249656868,0.15359506475900275,0.330184595084462,0.0
django/django,20991,False,1,2,1,2,0,2,3,5,11,2,0,0,1,0,0,6,0,2,1,0,334,19,6.333333333333333,4,31,38,11,5,43.0,1.0,2.0,1.0,1.0,0.9555555555555556,1.0,1.0,4.0,1.0,0.08888888888888889,70.0,2304.0,95.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1438950805578987,0.28843684358302774,0.0,0.0,0.0,0.08491828219937791,0.0702853247362885,0.08416380126703667,0.13115837345913833,0.1838093645854146,0.09035429778904076,0.14072610740792824,0.08373847420122353,0.0,0.0,0.26343544777274114,0.0,0.0,0.0,0.0,0.0,0.07989272555914279,0.0,0.2621354693381928,0.0,0.0,0.0,0.18062934101243822,0.0,0.08416380126703667,0.0,0.08437803493098917,0.0,0.22934696908191388,0.0,0.34652885425248686,0.0,0.0,0.0,0.0,0.073092062801872,0.0,0.07443806875570477,0.07941111104863527,0.060025372941016966,0.5678335205356533,0.17115112884191935,0.15882222209727054,0.17071072946218488,0.0
django/django,21016,False,1,1,1,1,0,1,2,11,9,0,0,0,1,0,0,4,0,1,1,0,366,17,3.7037037037037037,5,28,31,7,4,27.0,3.0,2.0,2.0,0.6666666666666666,0.8709677419354839,0.0,0.0,0.0,2.0,0.0,43.0,1814.0,94.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1467728566040496,0.29420532876036926,0.0,0.0,0.0,0.0,0.07169096989898495,0.08584700384978115,0.13378142647755578,0.18748539148231247,0.09216130490030515,0.14354050675637325,0.08541317061379854,0.0,0.0,0.2687039268504702,0.0,0.0,0.0,0.0,0.0726518542883119,0.08149051035473415,0.0,0.2673779499816116,0.0,0.0,0.0,0.18424177021281282,0.0,0.08584700384978115,0.0,0.08606552200006919,0.0,0.23393370833194452,0.0,0.29454927412604764,0.0,0.0,0.0,0.0,0.07455384027667836,0.0,0.07592676517504279,0.08099926397428055,0.061225828020795924,0.5791896954463134,0.1745740020697138,0.1619985279485611,0.17412479508668374,0.0
django/django,21036,True,5,0,1,0,0,0,0,0,27,16,0,0,0,2,0,23,0,0,0,0,550,12,2.904191616766467,1,28,29,5,1,44.0,2.0,3.0,2.0,1.0,0.9361702127659575,9.0,2.0,9.0,3.0,0.19148936170212766,101.0,2233.0,92.5,1.0,0.0,1.0,0.0,1.0,0.0,0.12199782157938673,0.24454391660877467,0.0,0.0,0.0,0.0,0.05958964318711936,0.07135616013146101,0.111199325104601,0.20778418996554024,0.07660461676563614,0.11931108747116677,0.070995557286063,0.0,0.3577874218673375,0.22334711256604226,0.0,0.0,0.0,0.0,0.0,0.06773503611427104,0.061480896045832074,0.22224495857648136,0.08514691343842971,0.0,0.0,0.20418938605730316,0.0,0.0,0.0,0.0715377927502402,0.06924361981749012,0.19444605406485926,0.0,0.24482980451970007,0.0,0.0,0.08475396463526287,0.0,0.06196926539809099,0.0,0.12622088532232453,0.06732671137589127,0.10178200269115957,0.4814233555206904,0.1451061759624621,0.13465342275178255,0.3618319860878556,0.0
django/django,21065,True,6,3,1,1,0,0,0,3,16,2,0,0,1,1,2,10,3,0,0,0,389,11,3.2954545454545454,0,25,25,6,2,44.0,6.0,5.0,1.0,2.5,0.8627450980392157,15.0,5.0,13.0,2.0,0.2549019607843137,84.0,2691.0,141.0,1.0,0.0,1.0,0.0,1.0,0.0,0.11582855345829085,0.23217765490498904,0.0,0.0,0.0,0.06835509421991116,0.056576273921156266,0.06774777370091825,0.15836418395417165,0.19727681891065635,0.07273082284027922,0.11327768393247999,0.06740540606340911,0.0,0.5661576436906255,0.21205274514493325,0.0,0.0,0.0,0.0,0.0,0.0,0.11674377725956901,0.21100632562164648,0.0,0.0,0.0,0.1938637994709087,0.0,0.0,0.0,0.06792022139893182,0.0,0.12307544990792821,0.0,0.2789389030118667,0.0,0.06673055505559872,0.0,0.0,0.05883556179126554,0.0,0.05991903123284917,0.12784417765523423,0.04831751086691881,0.3656627316723821,0.13776834899186474,0.12784417765523423,0.27482769774687915,0.0
